time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1705852768869210400,2851.4712104492187,45,1.5,1.1570210456848145,17.05900001525879,2.076770305633545,184.39932250976562,98.12950963905006,2.3146037,48.8396714
1705852769455625700,2852.057625732422,45,1.5,1.1570210456848145,17.003000259399414,2.088855743408203,183.98248291015625,98.12950963905006,2.3146068,48.8396595
1705852769975574800,2852.577574707031,45,1.5,1.1550904512405396,17,2.0939652919769287,183.5048065185547,98.21978464392754,2.3146124,48.8396505
1705852770511173400,2853.113173339844,45,1.5,1.1550904512405396,16.922000885009766,2.0989317893981934,183.05899047851562,98.21978464392754,2.3146172,48.839636
1705852771097588500,2853.6995883789064,45,1.5,1.1581192016601562,16.929000854492188,2.102480888366699,182.61766052246094,98.26035799384206,2.3146218,48.8396229
1705852771669357000,2854.2713571777344,45,1.5,1.1581192016601562,16.979000091552734,2.1078617572784424,182.25485229492188,98.26035799384206,2.3146259,48.8396159
1705852772198236200,2854.8002360839846,45,1.5,1.1555967330932617,17.020000457763672,2.11702036857605,182.2003173828125,98.21775598154356,2.3146296,48.8396063
1705852772739551200,2855.3415512695315,45,1.5,1.1555967330932617,16.875,2.1259260177612305,182.10997009277344,98.21775598154356,2.3146328,48.8395906
1705852773338850600,2855.9408505859374,45,1.5,1.1594072580337524,16.91900062561035,2.1332848072052,182.07858276367188,98.23905696085525,2.3146359,48.8395815
1705852773912382000,2856.5143818359375,45,1.5,1.1568331718444824,17.106000900268555,2.140197277069092,181.91156005859375,98.3257829307698,2.3146388,48.8395683
1705852774437637000,2857.0396372070313,45,1.5,1.1568331718444824,17.02400016784668,2.148531675338745,181.8427734375,98.3257829307698,2.3146407,48.839558
1705852774967929300,2857.5699294433593,45,1.5,1.189880609512329,16.981000900268555,2.1558055877685547,181.6943817138672,98.34860570231358,2.3146426,48.8395467
1705852775554344400,2858.156344482422,45,1.5,1.189880609512329,17.020000457763672,2.1625404357910156,181.50270080566406,98.34860570231358,2.3146442,48.8395328
1705852776140759600,2858.7427595214845,45,1.5,1.172869086265564,17.159000396728516,2.1647372245788574,181.22227478027344,98.43330408203366,2.3146465,48.8395177
1705852776669357000,2859.2713571777344,45,1.5,1.172869086265564,17.215999603271484,2.167816400527954,180.95787048339844,98.43330408203366,2.3146487,48.8395094
1705852777196307000,2859.7983068847657,45,1.5,1.160413384437561,17.047000885009766,2.1712605953216553,180.90904235839844,98.44040458355818,2.3146513,48.8394948
1705852777782722000,2860.384722167969,45,1.5,1.160413384437561,17.014999389648438,2.174928903579712,181.00914001464844,98.44040458355818,2.3146527,48.8394866
1705852778369137200,2860.9711372070315,45,1.5,1.1668540239334106,16.834999084472656,2.178966999053955,181.27059936523438,98.45815586346262,2.3146539,48.8394713
1705852778955552000,2861.557552001953,45,1.5,1.1668540239334106,16.72100067138672,2.1834938526153564,181.6101531982422,98.45815586346262,2.3146543,48.8394614
1705852779541967000,2862.1439670410155,45,1.5,1.1661336421966553,16.795000076293945,2.1886017322540283,182.2144317626953,98.58495180398982,2.3146518,48.8394452
1705852780096952300,2862.698952392578,45,1.5,1.1614948511123657,16.922000885009766,2.1892921924591064,182.7957000732422,98.67168132267136,2.3146504,48.8394367
