time_dt,timestamp,position_lat,position_long,distance,accumulated_power,enhanced_altitude,altitude,enhanced_speed,speed,cycle_length16,unknown_88,heart_rate,cadence,fractional_cadence,unknown_90,lat,lon,device,speed_calculated,distance_from_start,speed_filtered,speed_calculated_filtered,seconds
2024-01-21 16:00:38+00:00,2024-01-21 16:00:38+00:00,582662082,27610744,7074.33,65535,96.79999999999995,96.79999999999995,2.547,2.547,0.0,300,165,80,0.0,-11.0,48.838171530514956,2.314305827021599,Garmin Forerunner 735 XT,1.703664753162184,6241.783033286483,2.5372950226244475,1.703664753162184,2375.0
2024-01-21 16:00:39+00:00,2024-01-21 16:00:39+00:00,582661909,27610589,7076.18,65535,96.79999999999995,96.79999999999995,2.547,2.547,0.0,300,164,80,0.0,-11.0,48.83815702982247,2.314292835071683,Garmin Forerunner 735 XT,1.8718839524716788,6243.654917238955,2.53118642533938,1.8718839524716788,2376.0
2024-01-21 16:00:40+00:00,2024-01-21 16:00:40+00:00,582661712,27610358,7078.5,65535,96.79999999999995,96.79999999999995,2.538,2.538,0.0,300,164,80,0.0,-11.0,48.83814051747322,2.3142734728753567,Garmin Forerunner 735 XT,2.319331321053625,6245.974248560009,2.524730316742095,2.319331321053625,2377.0
2024-01-21 16:00:41+00:00,2024-01-21 16:00:41+00:00,582661501,27610180,7080.73,65535,96.60000000000002,96.60000000000002,2.51,2.51,0.0,300,164,80,0.0,-11.0,48.83812283165753,2.3142585530877113,Garmin Forerunner 735 XT,2.2493860707920783,6248.223634630801,2.5189873303167554,2.2493860707920783,2378.0
2024-01-21 16:00:42+00:00,2024-01-21 16:00:42+00:00,582661278,27610015,7083.0,65535,96.60000000000002,96.60000000000002,2.51,2.51,0.0,300,164,80,0.0,-11.0,48.838104140013456,2.3142447229474783,Garmin Forerunner 735 XT,2.3117832187344667,6250.535417849535,2.5149366515837235,2.3117832187344667,2379.0
2024-01-21 16:00:43+00:00,2024-01-21 16:00:43+00:00,582661089,27609806,7085.19,65535,97.0,97.0,2.501,2.501,0.0,300,164,80,0.0,-11.0,48.83808829821646,2.3142272047698498,Garmin Forerunner 735 XT,2.1787104796265213,6252.714128329162,2.511537556561099,2.1787104796265213,2380.0
2024-01-21 16:00:44+00:00,2024-01-21 16:00:44+00:00,582660851,27609615,7087.64,65535,98.0,98.0,2.501,2.501,0.0,300,164,81,0.0,-11.0,48.838068349286914,2.314211195334792,Garmin Forerunner 735 XT,2.5086550881758014,6255.222783417338,2.5071619909502396,2.5086550881758014,2381.0
2024-01-21 16:00:45+00:00,2024-01-21 16:00:45+00:00,582660590,27609485,7090.07,65535,99.0,99.0,2.501,2.501,0.0,300,164,81,0.0,-11.0,48.838046472519636,2.314200298860669,Garmin Forerunner 735 XT,2.559971287731898,6257.78275470507,2.505076018099561,2.559971287731898,2382.0
2024-01-21 16:00:46+00:00,2024-01-21 16:00:46+00:00,582660324,27609357,7092.58,65535,100.39999999999998,100.39999999999998,2.51,2.51,0.0,300,164,80,0.0,-11.0,48.8380241766572,2.3141895700246096,Garmin Forerunner 735 XT,2.60056343657829,6260.3833181416485,2.506525791855217,2.60056343657829,2383.0
2024-01-21 16:00:47+00:00,2024-01-21 16:00:47+00:00,582660045,27609266,7095.17,65535,101.39999999999998,101.39999999999998,2.519,2.519,0.0,300,164,80,0.0,-11.0,48.83800079114735,2.3141819424927235,Garmin Forerunner 735 XT,2.6595961078153687,6263.042914249464,2.5103221719457145,2.6595961078153687,2384.0
2024-01-21 16:00:48+00:00,2024-01-21 16:00:48+00:00,582659805,27609015,7097.88,65535,103.0,103.0,2.519,2.519,0.0,300,164,80,0.0,-11.0,48.83798067457974,2.314160903915763,Garmin Forerunner 735 XT,2.715585221686299,6265.758499471151,2.5164651583710542,2.715585221686299,2385.0
2024-01-21 16:00:49+00:00,2024-01-21 16:00:49+00:00,582659508,27608593,7101.43,65535,106.39999999999998,106.39999999999998,2.519,2.519,0.0,300,164,80,0.0,-11.0,48.83795578032732,2.314125532284379,Garmin Forerunner 735 XT,3.7900049260361266,6269.548504397187,2.5216316742081584,3.7900049260361266,2386.0
2024-01-21 16:00:50+00:00,2024-01-21 16:00:50+00:00,582659250,27608386,7104.14,65535,107.39999999999998,107.39999999999998,2.519,2.519,0.0,300,164,80,0.0,-11.0,48.83793415501714,2.314108181744814,Garmin Forerunner 735 XT,2.71932357056324,6272.26782796775,2.5267574660633625,2.71932357056324,2387.0
2024-01-21 16:00:51+00:00,2024-01-21 16:00:51+00:00,582658999,27608112,7107.03,65535,108.39999999999998,108.39999999999998,2.538,2.538,0.0,300,164,80,0.0,-11.0,48.83791311644018,2.314085215330124,Garmin Forerunner 735 XT,2.880622718585822,6275.148450686336,2.5315556561086114,2.880622718585822,2388.0
2024-01-21 16:00:52+00:00,2024-01-21 16:00:52+00:00,582658777,27607861,7109.6,65535,109.20000000000005,109.20000000000005,2.538,2.538,0.0,300,164,80,0.0,-11.0,48.837894508615136,2.3140641767531633,Garmin Forerunner 735 XT,2.5791519313222064,6277.727602617659,2.5361547511312352,2.5791519313222064,2389.0
2024-01-21 16:00:53+00:00,2024-01-21 16:00:53+00:00,582658542,27607627,7112.22,65535,109.79999999999995,109.79999999999995,2.538,2.538,0.0,300,164,80,0.0,-11.0,48.83787481114268,2.314044563099742,Garmin Forerunner 735 XT,2.6187451058088143,6280.346347723467,2.5400479638009186,2.6187451058088143,2390.0
2024-01-21 16:00:54+00:00,2024-01-21 16:00:54+00:00,582658323,27607389,7114.73,65535,110.20000000000005,110.20000000000005,2.547,2.547,0.0,300,164,80,0.0,-11.0,48.83785645477474,2.3140246141701937,Garmin Forerunner 735 XT,2.5095566866694754,6282.855904410137,2.5439746606334976,2.5095566866694754,2391.0
2024-01-21 16:00:55+00:00,2024-01-21 16:00:55+00:00,582658077,27607146,7117.46,65535,110.20000000000005,110.20000000000005,2.547,2.547,0.0,300,164,80,0.0,-11.0,48.837835835292935,2.314004246145487,Garmin Forerunner 735 XT,2.73477573351246,6285.5906801436495,2.548120361990964,2.73477573351246,2392.0
2024-01-21 16:00:56+00:00,2024-01-21 16:00:56+00:00,582657846,27606921,7120.0,65535,110.20000000000005,110.20000000000005,2.547,2.547,0.0,300,163,80,0.0,-11.0,48.83781647309661,2.313985386863351,Garmin Forerunner 735 XT,2.557430609334101,6288.1481107529835,2.551505882352955,2.557430609334101,2393.0
2024-01-21 16:00:57+00:00,2024-01-21 16:00:57+00:00,582657644,27606721,7122.24,65535,110.0,110.0,2.557,2.557,0.0,300,163,80,0.0,-11.0,48.8377995416522,2.313968623057008,Garmin Forerunner 735 XT,2.2471802123151345,6290.395290965299,2.5537873303167555,2.2471802123151345,2394.0
